time,latitude,longitude,depth,mag
1929-11-18T20:32:00.000Z,44.421,-56.016,10,7.2
1929-12-17T10:58:42.000Z,53.559,171.972,20,7.8
1930-03-26T07:12:08.000Z,-7.738,125.808,10,7
1930-05-05T13:46:01.000Z,17.86,96.43,35,7.5
1930-05-06T22:34:26.000Z,38.087,44.781,15,7.1
1930-06-11T00:49:48.000Z,-6.231,148.854,35,7
1930-07-02T21:03:43.000Z,25.929,90.177,15,7.1
1930-10-24T20:15:10.000Z,18.426,146.661,25,7.2
1930-11-09T19:08:39.000Z,-0.412,132.454,25,7
1930-12-03T18:51:47.000Z,18.233,96.298,10,7.4
1931-01-15T01:50:48.000Z,16.037,-96.583,35,7.6
1931-01-27T20:09:19.000Z,25.851,96.79,15,7.6
1931-01-28T21:24:12.000Z,10.888,144.357,15,7.2
1931-02-02T22:46:52.000Z,-39.659,176.42,35,7.4
1931-02-10T06:34:34.000Z,-5.412,102.557,35,7
1931-02-13T01:27:27.000Z,-39.482,176.216,45,7.3
1931-03-09T03:49:00.000Z,40.572,142.398,35,7.8
1931-03-18T08:02:25.000Z,-33.778,-71.478,35,7.2
1931-05-20T02:22:52.000Z,37.795,-16.168,10,7.1
1931-08-07T02:11:44.000Z,-3.417,142.077,35,7
1931-08-10T21:18:45.000Z,46.817,89.915,10,7.9
1931-08-18T14:21:05.000Z,47.264,89.859,10,7.1
1931-09-25T05:59:52.000Z,-5.433,102.279,35,7.4
1931-10-03T19:13:22.000Z,-11.117,161.11,15,7.9
1931-10-03T21:18:17.000Z,-12.131,161.333,15,7
1931-10-03T22:47:46.000Z,-10.931,161.414,15,7
1931-10-10T00:19:57.000Z,-9.732,161.211,15,7.7
1931-11-02T10:03:04.000Z,31.899,132.009,35,7.5
1932-01-29T13:41:16.000Z,-6.647,154.255,15,7.2
1932-05-14T13:11:04.000Z,0.493,125.805,15,7.7
1932-05-21T10:10:04.000Z,13.175,-88.07,15,7.1
1932-05-26T16:09:48.000Z,-25.447,178.854,570,7.6
1932-06-03T10:36:56.000Z,19.786,-103.784,15,8.1
1932-06-18T10:12:11.000Z,19.419,-103.907,15,7.8
1932-06-22T12:59:31.000Z,19.373,-104.224,25,7.7
1932-12-04T08:11:17.000Z,2.451,121.005,15,7.2
1932-12-25T02:04:30.000Z,39.496,96.616,15,7.9
1933-01-21T19:21:13.000Z,-33.921,57.698,10,7.1
1933-02-23T08:09:19.000Z,-20.5,-70.157,35,7.2
1933-03-02T17:31:00.000Z,39.209,144.59,15,8.5
1933-06-18T21:37:36.000Z,38.083,142.484,30,7.2
